中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,562 Mbps,71987 kB/s,71987.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,468 Mbps,59904 kB/s,59904.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,59 ms,328 Mbps,41984 kB/s,41984.0
34.82.76.253,443,35.227.144.152,US,Seattle,隧道,70 ms,316 Mbps,40448 kB/s,40448.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,304 Mbps,39014 kB/s,39014.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,286 Mbps,36659 kB/s,36659.0
152.70.62.177,443,2606:f240:f00:dd8d:0:5e7f:463d:6d85,DE,Munich,隧道,97 ms,252 Mbps,32358 kB/s,32358.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,99 ms,226 Mbps,28979 kB/s,28979.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,220 Mbps,28262 kB/s,28262.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,217 Mbps,27852 kB/s,27852.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,124 Mbps,15974 kB/s,15974.0
192.9.236.144,443,192.9.236.144,US,San Jose,中转,59 ms,40 Mbps,5157 kB/s,5157.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,34 Mbps,4442 kB/s,4442.0
8.219.151.64,443,47.84.41.244,SG,Singapore,隧道,229 ms,25 Mbps,3209 kB/s,3209.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,16 Mbps,2137 kB/s,2137.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,181 ms,11 Mbps,1435 kB/s,1435.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,167 ms,10 Mbps,1384 kB/s,1384.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,9 Mbps,1163 kB/s,1163.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,3 Mbps,441 kB/s,441.0
