中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,459 Mbps,58777 kB/s,58777.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,53 ms,359 Mbps,45977 kB/s,45977.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,306 Mbps,39219 kB/s,39219.0
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,71 ms,296 Mbps,37888 kB/s,37888.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,291 Mbps,37273 kB/s,37273.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,69 ms,287 Mbps,36761 kB/s,36761.0
35.197.23.75,443,35.212.183.25,US,Seattle,隧道,73 ms,272 Mbps,34816 kB/s,34816.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,264 Mbps,33894 kB/s,33894.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,260 Mbps,33382 kB/s,33382.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,259 Mbps,33177 kB/s,33177.0
35.230.79.26,443,35.212.183.25,US,Seattle,隧道,72 ms,220 Mbps,28262 kB/s,28262.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,122 Mbps,15667 kB/s,15667.0
193.122.124.215,443,132.226.239.169,KR,Seoul,隧道,209 ms,71 Mbps,9167 kB/s,9167.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,50 Mbps,6447 kB/s,6447.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,89 ms,49 Mbps,6357 kB/s,6357.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,1210 ms,46 Mbps,5930 kB/s,5930.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,176 ms,41 Mbps,5269 kB/s,5269.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,38 Mbps,4901 kB/s,4901.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,37 Mbps,4806 kB/s,4806.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,243 ms,29 Mbps,3718 kB/s,3718.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,238 ms,27 Mbps,3521 kB/s,3521.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,910 kB/s,910.0
